CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS;INTERVAL;DELAY;VARIATION;TIMEOUT
200.17.202.34;60920;1745023476577946971;1745023476578383872;860379;0;100048384;100003692.05190624;33897.475493107624;100139281.95387867
200.17.202.34;60920;1745023476677955038;1745023476678353152;860380;0;99969280;100000250.84671561;33604.81261535828;100134670.09717704
200.17.202.34;60920;1745023476777949307;1745023476778397184;860381;0;100044032;100004628.96204406;34184.63514941643;100141367.50264172
200.17.202.34;60920;1745023476877955762;1745023476878364416;860382;0;99967232;100000889.26583967;34131.8982184414;100137416.85871343
200.17.202.34;60920;1745023476977959568;1745023476978381056;860383;0;100016640;100002464.3392557;32136.27447102671;100131009.43713981
200.17.202.34;60920;1745023477077966786;1745023477078384128;860384;0;100003072;100002525.10533014;28977.3364909101;100118434.45129378
200.17.202.34;60920;1745023477177962053;1745023477178373376;860385;0;99989248;100001197.39479713;27274.542321532233;100110295.56408326
200.17.202.34;60920;1745023477277951799;1745023477278393600;860386;0;100020224;100003100.05531743;26259.48255763584;100108137.98554797
200.17.202.34;60920;1745023477377956521;1745023477378400256;860387;0;100006656;100003455.64978568;23953.569323304004;100099269.9270789
200.17.202.34;60920;1745023477477964948;1745023477478407936;860388;0;100007680;100003878.08480711;21938.40391026232;100091631.70044816
