CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS;MID_RANGE;MEAN_DEVIATION;TIMEOUT
200.17.202.34;60920;1745022743777968844;1745022743778367488;853051;0;1.7450227428783741e+18;999990175.0884897;1.7450227468783347e+18
200.17.202.34;60920;1745022743877970753;1745022743878311424;853052;0;1.7450227429783677e+18;999984885.5796407;1.7450227469783073e+18
200.17.202.34;60920;1745022743978050329;1745022743978347776;853053;0;1.7450227430783657e+18;999984400.2216766;1.7450227470783032e+18
200.17.202.34;60920;1745022744077965486;1745022744078379520;853054;0;1.7450227431783672e+18;999987342.5995089;1.7450227471783165e+18
200.17.202.34;60920;1745022744177929963;1745022744178344704;853055;0;1.745022743278365e+18;999986355.5395579;1.7450227472783104e+18
200.17.202.34;60920;1745022744277959440;1745022744278288384;853056;0;1.7450227433783572e+18;999980065.5856022;1.7450227473782776e+18
200.17.202.34;60920;1745022744377968656;1745022744378389504;853057;0;1.7450227434783603e+18;999985284.6270419;1.7450227474783014e+18
200.17.202.34;60920;1745022744477961826;1745022744478326784;853058;0;1.745022743578357e+18;999983402.5643377;1.7450227475782907e+18
200.17.202.34;60920;1745022744577963364;1745022744578496000;853059;0;1.7450227436783708e+18;999998963.107904;1.7450227476783667e+18
200.17.202.34;60920;1745022744677974463;1745022744678320128;853060;0;1.745022743778366e+18;999993997.9971135;1.745022747778342e+18
200.17.202.34;60920;1745022744777966811;1745022744778407168;853061;0;1.74502274387837e+18;999998719.7974021;1.745022747878365e+18
200.17.202.34;60920;1745022744877970409;1745022744878508032;853062;0;1.745022743978384e+18;1000012646.217662;1.7450227479784346e+18
200.17.202.34;60920;1745022744977965992;1745022744978328064;853063;0;1.7450227440783782e+18;1000005800.7958957;1.7450227480784015e+18
200.17.202.34;60920;1745022745077968871;1745022745078305280;853064;0;1.745022744178371e+18;999997924.7163061;1.745022748178363e+18
200.17.202.34;60920;1745022745177953698;1745022745178307072;853065;0;1.7450227442783647e+18;999991732.2446755;1.7450227482783316e+18
200.17.202.34;60920;1745022745277963336;1745022745278345216;853066;0;1.745022744378363e+18;999990613.420208;1.7450227483783252e+18
200.17.202.34;60920;1745022745377966767;1745022745378327040;853067;0;1.7450227444783593e+18;999987968.0781872;1.7450227484783112e+18
200.17.202.34;60920;1745022745477964555;1745022745478337536;853068;0;1.7450227445783572e+18;999986995.2703686;1.7450227485783053e+18
200.17.202.34;60920;1745022745577956124;1745022745578286848;853069;0;1.74502274467835e+18;999981255.7433318;1.745022748678275e+18
200.17.202.34;60920;1745022745677952772;1745022745678280192;853070;0;1.7450227447783432e+18;999976141.3689985;1.7450227487782477e+18
200.17.202.34;60920;1745022745777959556;1745022745778461696;853071;0;1.745022744878355e+18;999990380.0320987;1.7450227488783165e+18
200.17.202.34;60920;1745022745877954725;1745022745878479616;853072;0;1.7450227449783675e+18;1000003809.2288888;1.7450227489783828e+18
200.17.202.34;60920;1745022745977965922;1745022745978293504;853073;0;1.74502274507836e+18;999996029.9059999;1.7450227490783442e+18
200.17.202.34;60920;1745022746077976479;1745022746078489600;853074;0;1.745022745178373e+18;1000009380.5153999;1.7450227491784108e+18
200.17.202.34;60920;1745022746177951065;1745022746178307584;853075;0;1.7450227452783665e+18;1000001888.8638599;1.7450227492783741e+18
200.17.202.34;60920;1745022746277945733;1745022746278299648;853076;0;1.7450227453783598e+18;999995018.377474;1.7450227493783398e+18
200.17.202.34;60920;1745022746377963162;1745022746378378496;853077;0;1.7450227454783616e+18;999997385.3397266;1.745022749478351e+18
200.17.202.34;60920;1745022746477969160;1745022746478522624;853078;0;1.7450227455783777e+18;1000013749.2057539;1.7450227495784328e+18
200.17.202.34;60920;1745022746577965118;1745022746578421760;853079;0;1.745022745678382e+18;1000016777.4851785;1.7450227496784492e+18
